Name,customer_id,gender,age,city,state,pincode,occupation,employer_type,monthly_income,Loan_type,loan_account_number,loan_open_date,disbursal_date,disbursal_channel,sanction_amount,interest_rate,monthly_emi_amount,total_emi_count,emi_paid,months_past_due,dpd_days,last_payment_date,prepayment_flag,foreclosure_flag,outstanding_principal,principal_paid,interest_paid_to_date,cibil_score,total_active_loans,total_closed_loans,enquiries_last_6m,account_status,risk_grade,branch_code,ifsc_code
Riya Mehta,CUST00001,Male,40,Pune,Maharashtra,251618,Self-Employed,Public Sector,258734,Home Loan,LA1772687803603,2017-12-27,2017-12-27,Branch,9781000,8.22,85537.09,224,13,2,60,2019-01-16,False,False,9529858.4,251141.6,860840.57,720,3,0,0,SMA-1,C,BR6168,MSBK0106915
Mira Shetty,CUST00002,Female,49,Kochi,Kerala,470146,Salaried,NA,192446,Home Loan,LA9554859787851,2025-03-02,2025-03-02,Corporate Tie-up,23185000,8.36,180863.7,322,0,0,0,,False,False,23185000.0,0.0,0.0,785,1,0,1,Current,B,BR9400,MSBK0906647
Aarohi Patel,CUST00003,Female,65,Bhubaneswar,Odisha,520195,Salaried,NA,229141,Gold Loan,LA5104787414450,2024-07-02,2024-07-02,Branch,1779000,8.87,261712.35,7,2,1,30,2024-08-31,False,False,1280037.56,498962.44,24462.26,755,3,5,1,SMA-0,B,BR6955,MSBK0971999
Sai Gupta,CUST00004,Female,62,Bengaluru,Karnataka,378815,Salaried,Proprietorship,191269,Gold Loan,LA7642320687475,2021-01-06,2021-01-06,Branch,2049000,11.9,216240.98,10,7,0,0,2021-07-30,False,False,636066.13,1412933.87,100752.99,770,6,3,1,Current,B,BR6817,MSBK0635109
Vihaan Yadav,CUST00005,Female,29,Bengaluru,Karnataka,780174,Professional,Proprietorship,410623,Home Loan,LA7814045914364,2015-04-30,2015-04-30,Online,19140000,9.74,186018.4,223,82,0,0,2022-01-18,False,False,15587197.94,3552802.06,11700706.74,766,2,5,0,Current,B,BR2284,MSBK0880260
Kabir Ghosh,CUST00006,Male,22,Pune,Maharashtra,727920,Self-Employed,Proprietorship,40806,Gold Loan,LA3416162105937,2023-08-30,2023-08-30,Corporate Tie-up,1304000,7.73,54631.98,26,9,1,37,2024-05-26,False,False,877027.62,426972.38,64715.44,752,1,1,2,SMA-1,C,BR8028,MSBK0418563
Aadhya Kulkarni,CUST00007,Female,24,Chandigarh,Chandigarh,155114,Professional,NA,356025,Auto Loan,LA3347361470229,2017-07-10,2017-07-10,Online,2297000,8.47,41244.57,71,43,0,0,2021-01-20,False,False,1044560.05,1252439.95,521076.56,756,2,4,0,Current,B,BR6194,MSBK0189233
Kiara Kaur,CUST00008,Female,58,Jaipur,Rajasthan,635606,Self-Employed,NA,289247,Gold Loan,LA4811176469856,2020-07-09,2020-07-09,Branch,588000,10.93,30890.1,21,12,1,35,2021-07-02,False,False,265761.41,322238.59,48442.61,724,1,6,2,SMA-1,C,BR8549,MSBK0478164
Reyansh Mukherjee,CUST00009,Male,23,Pune,Maharashtra,696185,Professional,Private,88789,Education Loan,LA5266297079918,2024-03-14,2024-03-14,Corporate Tie-up,1538000,13.46,41612.69,48,5,0,0,2024-08-09,False,False,1413429.33,124570.67,83492.78,783,1,4,0,Current,B,BR7363,MSBK0154110
Diya Bansal,CUST00010,Male,20,Lucknow,Uttar Pradesh,161137,Salaried,Proprietorship,217351,Business Loan,LA4886695205502,2021-04-24,2021-04-24,Corporate Tie-up,15045000,13.6,318540.23,68,36,0,0,2024-04-06,False,False,8509547.75,6535452.25,4931996.03,749,2,4,1,Current,B,BR3319,MSBK0668236
Aditya Khan,CUST00011,Female,35,Jaipur,Rajasthan,831409,Salaried,Proprietorship,118749,Gold Loan,LA3918536673433,2025-03-13,2025-03-13,Corporate Tie-up,154000,9.32,5171.2,34,9,1,35,2025-12-07,False,False,117091.98,36908.02,9632.78,786,2,6,2,SMA-1,C,BR3699,MSBK0806498
Mira Ghosh,CUST00012,Female,52,Bhubaneswar,Odisha,402866,Professional,Private,118168,Business Loan,LA3707360407349,2020-08-09,2020-08-09,Branch,17925000,17.04,503138.5,50,29,0,0,2022-12-22,False,False,9080901.96,8844098.04,5746918.46,752,3,8,1,Current,B,BR8088,MSBK0697696
Anay Ghosh,CUST00013,Male,20,Noida,Uttar Pradesh,798089,Salaried,Public Sector,216566,Education Loan,LA9195454192496,2025-12-15,2025-12-15,Branch,664000,10.07,16057.49,51,0,4,123,,False,False,664000.0,0.0,0.0,708,3,0,0,NPA,D,BR6321,MSBK0396273
Ira Mahajan,CUST00014,Female,25,Hyderabad,Telangana,608750,Salaried,Proprietorship,117506,Personal Loan,LA2859923713947,2025-04-26,2025-04-26,DSA,1787000,13.0,43884.54,54,6,0,0,2025-10-22,False,False,1635804.38,151195.62,112111.62,742,1,4,0,Current,B,BR6943,MSBK0402783
Krishna Mukherjee,CUST00015,Male,24,Hyderabad,Telangana,115573,Salaried,Private,63380,Gold Loan,LA2587830927191,2023-04-04,2023-04-04,Corporate Tie-up,417000,9.96,27939.19,16,2,2,63,2023-06-02,False,False,367840.64,49159.36,6719.02,733,1,7,1,SMA-2,D,BR1923,MSBK0162521
Ishaan Kulkarni,CUST00016,Male,44,Bengaluru,Karnataka,415854,Salaried,Public Sector,238556,Personal Loan,LA1016289194844,2025-09-21,2025-09-21,Branch,2853000,11.37,86026.2,40,1,2,63,2025-10-20,False,False,2794005.98,58994.02,27032.18,710,1,10,1,SMA-2,D,BR5719,MSBK0361804
Reyansh Roy,CUST00017,Female,19,Indore,Madhya Pradesh,438700,Retired,NA,10470,Gold Loan,LA8018830081023,2025-12-13,2025-12-13,Online,2298000,8.32,129506.82,19,1,0,0,2026-01-09,False,False,2184425.98,113574.02,15932.8,797,2,4,1,Current,B,BR6335,MSBK0739641
Krishna Bansal,CUST00018,Female,67,Bengaluru,Karnataka,383011,Professional,Public Sector,112855,Business Loan,LA2296711972909,2019-01-07,2019-01-07,Online,2469000,13.15,39900.79,104,54,1,35,2023-06-13,False,False,1529719.07,939280.93,1215361.73,695,2,6,0,SMA-1,C,BR2661,MSBK0849154
Ira Thakur,CUST00019,Female,40,Bhubaneswar,Odisha,236828,Salaried,Government,140214,Auto Loan,LA7313150523392,2016-06-16,2016-06-16,Branch,438000,12.12,8757.8,70,32,0,0,2019-01-29,False,False,275237.33,162762.67,117486.93,737,2,10,3,Current,B,BR2653,MSBK0749401
Zara Pillai,CUST00020,Female,45,New Delhi,Delhi,293135,Salaried,Proprietorship,242072,Business Loan,LA6477416170223,2019-05-06,2019-05-06,Corporate Tie-up,6149000,16.92,267327.52,28,0,0,0,,False,False,6149000.0,0.0,0.0,748,5,12,1,Current,B,BR1877,MSBK0379040
Zara Das,CUST00021,Male,28,Mumbai,Maharashtra,553256,Salaried,Private,169147,Gold Loan,LA2577181514371,2015-04-03,2015-04-03,Online,2315000,10.92,156132.45,16,4,0,0,2015-07-27,False,False,1767316.77,547683.23,76846.57,762,2,7,0,Current,B,BR8111,MSBK0520184
Rohan Shetty,CUST00022,Female,49,Mumbai,Maharashtra,541785,Self-Employed,Government,125651,Education Loan,LA6311086676557,2018-06-29,2018-06-29,Branch,279000,14.16,4059.64,142,89,0,0,2025-10-19,False,False,159285.82,119714.18,241593.78,728,1,11,1,Current,B,BR1712,MSBK0191551
Diya Bhat,CUST00023,Male,67,Bhopal,Madhya Pradesh,853697,Self-Employed,NA,268051,Auto Loan,LA6002520804804,2018-03-07,2018-03-07,Branch,2339000,9.89,51591.43,57,26,2,70,2020-04-22,False,False,1406289.34,932710.66,408666.52,690,4,9,0,SMA-2,D,BR5853,MSBK0489717
Yash Bansal,CUST00024,Female,25,Indore,Madhya Pradesh,551843,Professional,NA,131196,Gold Loan,LA9751104168973,2023-10-25,2023-10-25,Branch,2380000,11.99,104396.78,26,10,0,0,2024-08-16,True,False,1536603.73,843396.27,200571.53,745,2,7,5,Current,B,BR8997,MSBK0900627
Dhruv Yadav,CUST00025,Female,68,Mumbai,Maharashtra,834414,Salaried,Private,61779,Auto Loan,LA9551206685752,2023-10-23,2023-10-23,Online,1522000,12.22,28613.78,77,24,1,35,2025-10-08,False,False,1167479.76,354520.24,332210.48,736,2,1,1,SMA-1,C,BR5080,MSBK0908862
Ananya Yadav,CUST00026,Male,46,Chandigarh,Chandigarh,444055,Professional,Private,118537,Gold Loan,LA1572233792954,2018-12-05,2018-12-05,Branch,41000,9.35,3102.59,14,10,0,0,2019-09-29,False,False,12172.32,28827.68,2198.22,774,1,7,2,Current,B,BR6778,MSBK0848361
Kiara Nair,CUST00027,Female,62,Ahmedabad,Gujarat,483775,Salaried,Public Sector,233413,Personal Loan,LA9790527925598,2024-02-24,2024-02-24,Branch,581000,16.88,28692.47,24,21,2,67,2025-11-11,False,False,83711.35,497288.65,105253.22,730,2,2,1,SMA-2,D,BR8963,MSBK0729088
Aditya Chatterjee,CUST00028,Male,63,Chennai,Tamil Nadu,315476,Salaried,Public Sector,74812,Home Loan,LA2649488840646,2017-07-26,2017-07-26,Corporate Tie-up,27595000,8.47,252928.95,209,42,1,37,2021-01-03,False,False,24763427.9,2831572.1,7791443.8,767,1,6,0,SMA-1,C,BR8156,MSBK0865870
Aditya Naidu,CUST00029,Male,32,Visakhapatnam,Andhra Pradesh,446960,Retired,Government,41915,Auto Loan,LA4655685971507,2019-02-15,2019-02-15,Corporate Tie-up,2328000,9.77,45734.31,66,44,0,0,2022-09-23,False,False,917785.89,1410214.11,602095.53,769,2,6,1,Current,B,BR4709,MSBK0478219
Yash Yadav,CUST00030,Female,36,Gurgaon,Haryana,595744,Salaried,Government,45794,Auto Loan,LA3830629814869,2017-06-26,2017-06-26,DSA,1209000,11.15,19214.29,95,39,3,93,2020-09-07,False,False,835946.68,373053.32,376303.99,694,4,10,1,NPA,D,BR9689,MSBK0501362
Rohan Reddy,CUST00031,Female,54,Noida,Uttar Pradesh,196923,Salaried,Proprietorship,206985,Business Loan,LA5717824794181,2022-08-05,2022-08-05,Online,14066000,16.74,321583.68,68,39,0,0,2025-10-15,False,False,7627061.77,6438938.23,6102825.29,756,2,3,1,Current,B,BR5985,MSBK0246522
